title,year,released_at,director,awards,imdb_votes
Frozen II,2019,22-Nov-19,"Chris Buck, Jennifer Lee",Nominated for 1 Oscar. Another 15 wins & 71 nominations.,"1,06,368"
Full-Court Miracle,2003,21-Nov-03,Stuart Gillard,4 nominations.,816
Fun and Fancy Free,1947,12-Mar-48,"Jack Kinney, Hamilton Luske, William Morgan, Bill Roberts",N/A,"6,454"
Fuzzbucket,1986,18-May-86,Mick Garris,1 nomination.,155
G-Force,2009,24-Jul-09,Hoyt Yeatman,1 win & 1 nomination.,"41,151"
Gargoyles,1994–1996,24-Oct-94,N/A,1 win & 11 nominations.,"13,699"
Geek Charming,2011,11-Nov-11,Jeffrey Hornaday,1 nomination.,"10,723"
Genius,1999,21-Aug-99,Rod Daniel,2 nominations.,"1,570"
,,,,,
George of the Jungle,1997,16-Jul-97,Sam Weisman,1 win & 3 nominations.,"68,409"
George of the Jungle 2,2003,20-Oct-03,David Grossman,N/A,"6,039"
Geri's Game,1997,25-Nov-97,Jan Pinkava,Won 1 Oscar. Another 8 wins & 1 nomination.,"21,679"
Get a Clue,2002,20-Jul-02,Maggie Greenwald,N/A,"5,713"
,,,,,
Girl Meets World,2014–2017,27-Jun-14,N/A,Nominated for 3 Primetime Emmys. Another 3 wins & 16 nominations.,"12,220"
Glory Road,2006,13-Jan-06,James Gartner,2 wins & 3 nominations.,"41,442"
Go Figure,2005,10-Jun-05,Francine McDougall,1 nomination.,"3,121"
Going to the Mat,2004,19-Mar-04,Stuart Gillard,1 win & 3 nominations.,"1,212"
Good Luck Charlie,2010–2014,04-Apr-10,N/A,Nominated for 3 Primetime Emmys. Another 4 wins & 20 nominations.,"17,475"
"Good Luck Charlie, It's Christmas!",2011,02-Dec-11,Arlene Sanford,N/A,"4,577"
Goof Troop,1992–1993,05-Sep-92,N/A,1 win & 2 nominations.,"7,293"
Gordon Ramsay: Uncharted,2019–,21-Jul-19,N/A,1 nomination.,316
Gotta Kick It Up!,2002,26-Jul-02,Ramón Menéndez,2 nominations.,"1,551"
,,,,,
The Grasshopper and the Ants,1934,10-Feb-34,Wilfred Jackson,N/A,"1,304"
Great Migrations,2010–,07-Nov-10,N/A,3 wins & 1 nomination.,694
Greyfriars Bobby: The True Story of a Dog,1961,17-Jul-61,Don Chaffey,N/A,"1,203"
Gus,1976,07-Jul-76,Vincent McEveety,N/A,"1,481"
Hacksaw,1971,26-Sep-71,Larry Lansburgh,N/A,36
Halloweentown,1998,17-Oct-98,Duwayne Dunham,2 nominations.,"11,872"
Halloweentown High,2004,08-Oct-04,Mark A.Z. Dippé,N/A,"5,443"
Halloweentown II: Kalabar's Revenge,2001,12-Oct-01,Mary Lambert,2 nominations.,"6,476"
Handy Manny,2006–2013,N/A,N/A,8 wins & 1 nomination.,"1,288"
Hannah Montana,2006–2011,24-Mar-06,N/A,Nominated for 4 Primetime Emmys. Another 20 wins & 24 nominations.,"35,066"
